title,review,summary,vader_sentiment,vader_score,topic
Like the flavor,"This always helps me reduce musle cramping I get after inline skating, wish this was still manufactured, I understand its not.","This always helps me reduce musle cramping I get after inline skating, wish this was still manufactured, I understand its not.",positive,0.7783,4
Quality,"I am very happy with the M881. It is lightweight, and very comfortable. Good support and stability.","I am very happy with the M881. It is lightweight, and very comfortable. Good support and stability.",positive,0.9291,9
review,Im a big reader and i was suggested this book in 5th grade by my library teacher. I was fasinated by it and it soon became my favorite book. there is some parts that confuse me like how there can be no color but otherwise i love the book. I recommend it to any big readers or kids 11 and up.,Im a big reader and i was suggested this book in 5th grade by my library teacher. I was fasinated by it and it soon became my favorite book. there is some parts that confuse me like how there can be no color but otherwise i love the book.,positive,0.8945,2
A decade later...,"""The Miseducation of Lauryn Hill"" still sounds as fresh and new in 2008 as it did when it was released in 1998. It's hard to believe that its been ten years since this masterpiece was released. The songs are timeless. ""Ex-Factor,"" ""Doo Wop (That Thing),"" ""I Used To Love Him,"" ""Lost Ones,"" ""Everything Is Everything,"" ""To Zion,"" and all the rest are classics. I bet in 2028 somebody, somewhere will still be rocking this CD. I'm still hoping for another Lauryn masterpiece. I know she's had her issues through the years since this Grammy-winning darling was released, but her talent is timeless. They don't make 'em like her anymore. I think she has another one in her. If she ever does decide to comeback, she has one fan that will be patiently waiting for her new ""Miseducation!""","""The Miseducation of Lauryn Hill"" still sounds as fresh and new in 2008 as it did when it was released in 1998. I know she's had her issues through the years since this Grammy-winning darling was released, but her talent is timeless. If she ever does decide to comeback, she has one fan that will be patiently waiting for her new ""Miseducation!""",positive,0.9378,6
Excellent CD,"Great CD. Wonderful Music. Would Like To Know Where And When This Was Recorded. Please Release More Of This Music With Merl AndMelvin. So Sorry Merl Is Gone.Buy This CD, You Will Love It.","Great CD. Wonderful Music. Would Like To Know Where And When This Was Recorded. Please Release More Of This Music With Merl AndMelvin. So Sorry Merl Is Gone.Buy This CD, You Will Love It.",positive,0.9626,6
Low standby time,The battery doesn't last long. It is a Chinese product and doesn't look like an original Nokia battery. But that's what you get when you pay $3 including delivery! That's why I gave it 2 stars instead of 1.,The battery doesn't last long. It is a Chinese product and doesn't look like an original Nokia battery. But that's what you get when you pay $3 including delivery! That's why I gave it 2 stars instead of 1.,negative,-0.3285,4
Delicious reading,"I found the book to be light-hearted, fun and relatively fast-moving. True, it was predictable, but that didn't detract from Capella's take on the triad of Bruno, Laura and Tomasso. In fact, it was nice to see how Cappella put his spin on the Cyrano story. The descriptions of the food and the locale enhanced the story and added to the atmosphere, though at times were a ""trifle overdone"" (pun intended). The only thing that kept me from giving this a 5 was the author's descriptions of the sex scenes which were at times too graphic -- too male, perhaps, like reading Playboy/Penthouse letters -- for my taste. In all, though, the book was entertaining and a fun way to occupy a few summer afternoons.","The descriptions of the food and the locale enhanced the story and added to the atmosphere, though at times were a ""trifle overdone"" (pun intended). The only thing that kept me from giving this a 5 was the author's descriptions of the sex scenes which were at times too graphic -- too male, perhaps, like reading Playboy/Penthouse letters -- for my taste. In all, though, the book was entertaining and a fun way to occupy a few summer afternoons.",positive,0.9743,2
Very good heart wrenching story,I read this book many years ago. I was touched by her story. I can not speak for the Kindle formatting on this. Only to the books content. Excellent.,I read this book many years ago. I was touched by her story. I can not speak for the Kindle formatting on this. Only to the books content. Excellent.,positive,0.9076,1
SUCKS,"This game sucks, you have to keep an eye on the map at all times which is unbelievably hard while driving 100+ miles per hour. There is no sense of direction whatsoever, you just stumble onto races.","This game sucks, you have to keep an eye on the map at all times which is unbelievably hard while driving 100+ miles per hour. There is no sense of direction whatsoever, you just stumble onto races.",negative,-0.8237,10
Disappointing...,... that's the most appropriate word to describe how I feel about this long awaited book.,... that's the most appropriate word to describe how I feel about this long awaited book.,negative,-0.5106,2
you really dont want one,"This is a good radio dont get me wrong however, let me explain. I have had one for about three years then the problems started. The main thing is now it transmits intermediately and the problem is in the new design. It seems to save money (not yours) they have put a couple of small circuit boards with non repairable components on the main board. eventually with the bouncing and jarring these crack. My tech. cannot repair it and cobra doesnt want to sell him the parts. So i basically have a small boat anchor. Plus he told me that the sound tracker models are mainly junk. the only two he recomended were the classics and he told me that for the money the unidens are best deal and withstand the abuse better. (he doesnt even stock a cobra). I am a truck driver and the radios do go through some rough riding. I have switched to uniden!",The main thing is now it transmits intermediately and the problem is in the new design. It seems to save money (not yours) they have put a couple of small circuit boards with non repairable components on the main board. the only two he recomended were the classics and he told me that for the money the unidens are best deal and withstand the abuse better.,positive,0.6931,4
Uplifting and Beautiful,"The scenery in this film was breathtaking- the countryside, the house, the people, the food- the way of life in general was just inspriring.What made this movie great, though, was the romance between Frances and Marcello. In any typical romantic comedy, the broken-down and lonely Frances would have met Marcello and all her problems would have been solved. The end. But in this film, Frances thinks her life has turned around and that she has found the answer to her prayers....but, like in real life, this is not the case.I liked this movie because it didn't sugar-coat anything, but at the same time it was very uplifting.","The scenery in this film was breathtaking- the countryside, the house, the people, the food- the way of life in general was just inspriring.What made this movie great, though, was the romance between Frances and Marcello. In any typical romantic comedy, the broken-down and lonely Frances would have met Marcello and all her problems would have been solved. But in this film, Frances thinks her life has turned around and that she has found the answer to her prayers....but, like in real life, this is not the case.I liked this movie because it didn't sugar-coat anything, but at the same time it was very uplifting.",positive,0.8443,3
Bigoted dogmatic polemical specious flatulent...,"This is a disappointing book. It represents a very bigoted view of the world of distributed objects. The authors are CORBA zealots, and spend more time sniping at COM than conveying insight into the problems faced by programmers in the real world who have to make real systems talk to each other. Only near the end of the book does it even consider the possibility that you might want to call COM server objects from a CORBA client. But, OMG's CORBA interworking specs are very well written and handle the material much better. Download the CORBA/IIOP 2.2 Specification at the OMG web site.","It represents a very bigoted view of the world of distributed objects. The authors are CORBA zealots, and spend more time sniping at COM than conveying insight into the problems faced by programmers in the real world who have to make real systems talk to each other. Only near the end of the book does it even consider the possibility that you might want to call COM server objects from a CORBA client.",positive,0.5775,2
It was a beautiful tale of Bilbo's journey,It was amazingly captivating and kept me on the edge of my seat the whole adventure. An inspiring story that everyone should read.,It was amazingly captivating and kept me on the edge of my seat the whole adventure. An inspiring story that everyone should read.,positive,0.8402,1
milk and honey,"Milk and Honeymini lp of milk and honey, this album complements the beautiful world of double fantasy. grow old with me, one of the most beautiful love songs","Milk and Honeymini lp of milk and honey, this album complements the beautiful world of double fantasy. grow old with me, one of the most beautiful love songs",positive,0.927,8
majormuffin,"This is the best sunshield I have ever owned. It fits just like it should and is built very well, maybe to well. The only reason I didn't give it a 5 star rating is that the sunshield is very stiff. The stiffness makes it a little difficult to place it on the inside of the windshield. I have owned and used it for 2 years. It is still like new. I would buy it again.","It fits just like it should and is built very well, maybe to well. The only reason I didn't give it a 5 star rating is that the sunshield is very stiff. The stiffness makes it a little difficult to place it on the inside of the windshield.",positive,0.8882,4
DTS DOESN'T WORK!,"I have a Sony DVP-CX850D and a Harmon Kardon 750, both DTS compatable. When I try an select the audio channel it only plays 2.0 and not 5.1 DTS. There is something wrong with this dvd!","I have a Sony DVP-CX850D and a Harmon Kardon 750, both DTS compatable. When I try an select the audio channel it only plays 2.0 and not 5.1 DTS. There is something wrong with this dvd!",negative,-0.3987,7
couldn't get through it,"The cast list on this film looked pretty impressive, so I decided to give it a try on Netflix. I could barely get through it. It was slow not in a way that developed characters but rather that seemed focused on playing around with ""original"" camera techniques, such as watching people slouch around through the lens of a VHS video camera. Not worth sitting through - I quickly changed the movie after about half an hour.","The cast list on this film looked pretty impressive, so I decided to give it a try on Netflix. It was slow not in a way that developed characters but rather that seemed focused on playing around with ""original"" camera techniques, such as watching people slouch around through the lens of a VHS video camera. Not worth sitting through - I quickly changed the movie after about half an hour.",positive,0.869,3
punk sounding not COC,"I was looking up the worst LP's I ever heard just for fun. I can't believe how many of the LP's get high ratings. Only about 1 percent of the CD's get a 1 rating from me, this one got a 1 which is to say it was hard to listen to the hole thing. I like the band but this was just bad.","I was looking up the worst LP's I ever heard just for fun. I can't believe how many of the LP's get high ratings. Only about 1 percent of the CD's get a 1 rating from me, this one got a 1 which is to say it was hard to listen to the hole thing.",negative,-0.6808,6
Not what you expect,This coming of age story is one of the best I have read. Do not pass this book up. The story revolves around the hopelessness of Indian laws and the measures that patch it up on the Rez.,This coming of age story is one of the best I have read. Do not pass this book up. The story revolves around the hopelessness of Indian laws and the measures that patch it up on the Rez.,neutral,0.0258,1
No MFC? Hardly Any C++? C is in the stone age.,"I was expecting more from Microsoft Press. The authors are C programmers who don't realize the power of C++ and it's reusabilty. I find no reference anywhere to MFC! The authors are still stuck in the stone age of C programming and I'm assuming they have never heard of MFC even though they work at Microsoft. I wish I hadn't bought this book. I am anxious for the book DirectX Complete With CDROM by James Boer and Michael Root. It won't be available till November 98. From the synopsis it will use the AppWizard in VC++ and use MFC and C++ the way any true Windows program should, for reusabilty and maintenace.","The authors are C programmers who don't realize the power of C++ and it's reusabilty. The authors are still stuck in the stone age of C programming and I'm assuming they have never heard of MFC even though they work at Microsoft. From the synopsis it will use the AppWizard in VC++ and use MFC and C++ the way any true Windows program should, for reusabilty and maintenace.",negative,-0.372,4
My face was stuck in a grimace the whole time.,"I usually love Sandra Bullock and Hugh Grant, but unfortunately this movie is really bad. Neither character was very appealing, there was no chemistry, and the whole thing was flat. I found myself actually wincing for the actors. Do not waste your time.","I usually love Sandra Bullock and Hugh Grant, but unfortunately this movie is really bad. Neither character was very appealing, there was no chemistry, and the whole thing was flat. Do not waste your time.",negative,-0.7745,3
"Enduring Comedy, Jimmy Doesn't Look Half-Bad Either!","I watched this film in theaters and on HBO. And everytime I see Jimmy, my heart melts into passion and I'm sure alot of other girls do that to once they find his humor so sexy! The girl he wins is not bad looking either, and as for his mom, I got two of her films. Now...Queen Latifah is like the star of the film! Heck, she is! I love her name in it...Belle is such a beautiful name and it fits Latifah's personality quite well. Jimmy in it...is a great cop and a little bit clumsy, but he's great! You know what? I like that Diana Ross song too! It's my favorite as well! Jimmy really did save the day and Belle's life in the movie. And that's another thing...I like about him. He's very heroic and can still be Mr. Funny. Anyway, I would reccomend this film to anybody who loves humor, Queen Latifah and Jimmy Fallon! And I should know lots. I might get it for Christmas. Buh-bye!","And everytime I see Jimmy, my heart melts into passion and I'm sure alot of other girls do that to once they find his humor so sexy! The girl he wins is not bad looking either, and as for his mom, I got two of her films. I love her name in it...Belle is such a beautiful name and it fits Latifah's personality quite well.",positive,0.9965,5
"Decent, but typical","This is a pretty decent romantic comedy. Hugh Grant and Sandra Bullock create some genuinely funny moments and touching acting. It'll work well for an date with your significant other or if you just want to lift your mood.Unfortunately, like many such films, this film isn't particularly exciting or original. It begins with the characters hating each other, then being forced into a situation where they work closely together, and then near the end of realizing they love each other. In fact, this movie follows the same narrative arc of Sandra Bullock's other romantic comedies, such asThe Proposal. It lacks the spunk and freshness of a film likeMiss Congeniality.","It'll work well for an date with your significant other or if you just want to lift your mood.Unfortunately, like many such films, this film isn't particularly exciting or original. It begins with the characters hating each other, then being forced into a situation where they work closely together, and then near the end of realizing they love each other. In fact, this movie follows the same narrative arc of Sandra Bullock's other romantic comedies, such asThe Proposal.",positive,0.9866,3
enlightening,Stephen Brookfield delivers a broad perspective on critical theory and its application to adult education. He really makes you think and reflect on your teaching. Excellent resource.,Stephen Brookfield delivers a broad perspective on critical theory and its application to adult education. He really makes you think and reflect on your teaching. Excellent resource.,positive,0.6908,9
Absolutely one of the best books I have ever read,"Simply put, this book so clearly touches upon what it is to be human and the many trials and joys of our human existence that I dare say it has few rivals in the world of literature. If you have not read it, don't be intimidated by all the rave reviews, just open it up and read it. If you don't agree, you will still have had the pleasure of knowing intimately the wonderful characters of Steinbecks East of Eden as if they were your own extended family, a truely great gift from such a talented author.","Simply put, this book so clearly touches upon what it is to be human and the many trials and joys of our human existence that I dare say it has few rivals in the world of literature. If you have not read it, don't be intimidated by all the rave reviews, just open it up and read it. If you don't agree, you will still have had the pleasure of knowing intimately the wonderful characters of Steinbecks East of Eden as if they were your own extended family, a truely great gift from such a talented author.",positive,0.9832,1
"A trick, no treats!","No Michael Myers, No point!This film is totally oblivious to the original series as this should not really be titled as a halloween sequel. It may have worked better if it had just been called SEASON OF THE WITCH minus the halloween 3 title. I'm collecting all the halloween films, but I will leave this one out. Very unimpressive. Fans will be dissapointed.","No Michael Myers, No point!This film is totally oblivious to the original series as this should not really be titled as a halloween sequel. It may have worked better if it had just been called SEASON OF THE WITCH minus the halloween 3 title. I'm collecting all the halloween films, but I will leave this one out.",negative,-0.7,7
A must-have!,"I have All-clad, cast iron, you name it. But now, with just the two of us, this is my ""go to"" pan for everything from oatmeal to soup to veggies. Love it and highly recommend. Good even heating and easy clean up in the dishwasher.","I have All-clad, cast iron, you name it. But now, with just the two of us, this is my ""go to"" pan for everything from oatmeal to soup to veggies. Good even heating and easy clean up in the dishwasher.",positive,0.9734,9
Poor Manufacturing Quality,"I have owned these headphones many a times, and up until 5 months ago I wouldn't have bought another pair out there for sport purposes. They have always provided what I needed in a sport headphone, but like I said, until 5 months ago. Recently, the last 2 pairs I've bought, have broken in similar fashion while NOT IN USE. I used each pair while running and lifting, nothing too crazy, but they broke extremely easily around the first joint coming up from the ear bud. I was just moving them about my room or on/off my head and they snapped. Nothing extreme. I was very disappointed. I had recommended them to my girlfriend and hers broke, but in the top middle portion. Honestly I think Sony has changed something in their manufacturing process to produce such poor quality. BUY SOMETHING ELSE!","I have owned these headphones many a times, and up until 5 months ago I wouldn't have bought another pair out there for sport purposes. They have always provided what I needed in a sport headphone, but like I said, until 5 months ago. I used each pair while running and lifting, nothing too crazy, but they broke extremely easily around the first joint coming up from the ear bud.",negative,-0.7838,4
Cusinart Chef's Classic Shine!!!!,"Need sunglasses when you cook with these babies...most beatiful shine and great temperature dispersement. Run the stove top flame/heat less than you normally would as this set is highly thermally conductive. Can scratch them easily so use wooden and high temp good quality plastic utensils. Need to sometimes use oven mits as the handles are not insulated from the pots and can get quite hot. Use care with the lid covers as well. But these are small things.The pots and pans hold heat very well and your cooking should improve. Suggest using a PAM product before you add butter or other fats as it makes clean up a breeze. After cooking, soak the pot or pan in hot soapy water and the clean up is easy. Recommend Cameo pot cleaner (non abrassive) for keeping these cooking tools dazzling. And don't forget the sunglasses! I have owned this set for almost a year and recommend adding the large skillet and cover and the steamer insert to round out the set.","Need to sometimes use oven mits as the handles are not insulated from the pots and can get quite hot. After cooking, soak the pot or pan in hot soapy water and the clean up is easy. I have owned this set for almost a year and recommend adding the large skillet and cover and the steamer insert to round out the set.",positive,0.9885,4
an interesting journey into the past,I enjoyed the trip into the past I would have liked more interaction with the Clan.I would like to be advised of any books Jean writes.,I enjoyed the trip into the past I would have liked more interaction with the Clan.I would like to be advised of any books Jean writes.,positive,0.8834,1
"Great Idea, Poor Follow-through","I have read many books of this genre, more than one of Mr. Holzer's. This is by far his worst work. The biggest problem is the way that he writes. It is apparent in his other books, but not as prominent. He comes off as if he is the world's best ghost hunter and that his opinion's are fact. Many times he states in the book that he doubts and discredits any person that hasn't in the past had some kind of psychic occurence. There is no history to any ""haunt"". He and his medium are the only credible people in any story. My overall consenus is that he is getting old and is trying to cash in on a few more books. there was no thought or follow through, just cocky, arrogant fatigue in this book. If you want to read a real good ghost book, check out Citro.",He comes off as if he is the world's best ghost hunter and that his opinion's are fact. Many times he states in the book that he doubts and discredits any person that hasn't in the past had some kind of psychic occurence. My overall consenus is that he is getting old and is trying to cash in on a few more books.,negative,-0.9561,1
Beautiful,"This was an amazingly beautiful movie!!!!Very good for people like me who like tearjerkers. It was funny, thrilling, and enchantingly romantic and sad in one movie!!!! Demi Moore, Whoopi Goldberg, and Patrick Swayze all do an excellent job in portraying their respective characters. Wonderful movie for almost anyone (especially with the Holidays coming so soon!!!!).","It was funny, thrilling, and enchantingly romantic and sad in one movie!!!! Demi Moore, Whoopi Goldberg, and Patrick Swayze all do an excellent job in portraying their respective characters. Wonderful movie for almost anyone (especially with the Holidays coming so soon!!!!",positive,0.9883,3
great guitars,"the guitar work on this album is great (one mark templin) and i really enjoyed it. plus one song from this album (go with me ) was on a hellraiser soundtrack. all in all a very good find , give it a spin !","the guitar work on this album is great (one mark templin) and i really enjoyed it. plus one song from this album (go with me ) was on a hellraiser soundtrack. all in all a very good find , give it a spin !",positive,0.9458,8
D Day Invasion of Europe,"A well told story of the events leading to the Invasion of Europe in June of 1944. Acting, for the most part, is excellent. Even in black and white background scenes appear authentic. Some of the acting, such as John Wayne and Richard Burton's, is a little iffy in places. They both look tired and a little out of place. Overall, an excellent film that dramatizes the complexities of one of the most massiveinvasions in 20th century warfare.","A well told story of the events leading to the Invasion of Europe in June of 1944. Some of the acting, such as John Wayne and Richard Burton's, is a little iffy in places. Overall, an excellent film that dramatizes the complexities of one of the most massiveinvasions in 20th century warfare.",positive,0.6872,7
Don't read this book,I'd like to say that I thought this book was horrible. The story has no plot to it and is purely descriptive. Definately a slow read that will put you to sleep and the story is very frustrating. The girl leaves KY so she doesn't end up like the other hick girls but still gets an unexpected baby and works at a mechanic store (that has a religious name - religion being another characteristic of hick towns) Extremely boring - read something else unless you want to experience what hell is like.,The story has no plot to it and is purely descriptive. Definately a slow read that will put you to sleep and the story is very frustrating. The girl leaves KY so she doesn't end up like the other hick girls but still gets an unexpected baby and works at a mechanic store (that has a religious name - religion being another characteristic of hick towns) Extremely boring - read something else unless you want to experience what hell is like.,negative,-0.8966,1
Not Needed -- Free Alterative,"This was bought for me as a gift, but it is completely unneccesary. It's simply a case of a company using widely available technology to make some money off of peoples' ignorance... If I hear a song that I wonder ""...hmm, what was that?"" I simply log on to the StarCD website and choose the radio station I was listening to and the time. It uses the same data that this device does. The only thing this device does is record times. If you think its worth spending the money for a keychain timestamp-thingermajig, go ahead. Ill just jot it on my hand with a pen. (I have no commercial or otherwise affiliation with StarCD, I'm just an impressed user.)","It's simply a case of a company using widely available technology to make some money off of peoples' ignorance... If I hear a song that I wonder ""...hmm, what was that?"" I simply log on to the StarCD website and choose the radio station I was listening to and the time.",positive,0.2844,4
Interesting idea but didn't work out,"This seems like a great potential story: two men are given a week off from their marriage to do whatever they want. It didn't work out that way. The movie bombed. The acting by the male characters, especially Sudekis', was marginal, and the ending was trite and predictable--and a lame car chase scene didn't help. Of course, these guys were not going to cheat on their wives, duh.What could have been a decent movie was almost unwatchable. Of course, a mandatory car race occurs at the end, which does nothing to enhance the quality of this movie. Jenna Fischer and Christina Applegate did a respectable performance as the idiots' wives, but it wasn't enough to save this stinker.","The acting by the male characters, especially Sudekis', was marginal, and the ending was trite and predictable--and a lame car chase scene didn't help. Of course, a mandatory car race occurs at the end, which does nothing to enhance the quality of this movie. Jenna Fischer and Christina Applegate did a respectable performance as the idiots' wives, but it wasn't enough to save this stinker.",positive,0.5688,3
The Hounds of the Baskervilles criticism,"The story was a little uneasy at first, but the action and plot and all that good stuff kicks in. Seems to me, just one of those ""you have to get into the plot sort of books"" I'd recommend it to all, who would like to get into the Sherlock Holmes universe for the first time...","The story was a little uneasy at first, but the action and plot and all that good stuff kicks in. Seems to me, just one of those ""you have to get into the plot sort of books"" I'd recommend it to all, who would like to get into the Sherlock Holmes universe for the first time...",positive,0.8292,9
If you had to pick 10 Richard Gere films ...,"Just say you were asked to pick 10 of Richard Gere's all time great films. Ok, I agree he's probably only done 5 great films so finding 10 enough would be hard. But I think I could do it. ""Breathless"", however would not be included because it is one of the most boring and ridiculous films I have seen. Back in 1983 it hit the cinemas and people went and saw it because of Richard Gere's full frontal nudity. But blink and you will miss those bits, they are so fast on your screen.""Breathless"" may be a remake of a French classic, but that does not make it a masterpiece.","""Breathless"", however would not be included because it is one of the most boring and ridiculous films I have seen. Back in 1983 it hit the cinemas and people went and saw it because of Richard Gere's full frontal nudity. ""Breathless"" may be a remake of a French classic, but that does not make it a masterpiece.",positive,0.5211,5
A MBA student,"This is a good router. It shows as what it's advertise but I have some installation issue. It is hard to set up. If you check everything what it said in its manual such as ipconfig, ping, or connect cable firmly, you still can not use it. Try to shut down everything about 10 min and restart. It may be help. I used with Dell Insprion 1150 and DWL-G650. Therefore, it got 4 stars.","It shows as what it's advertise but I have some installation issue. It is hard to set up. If you check everything what it said in its manual such as ipconfig, ping, or connect cable firmly, you still can not use it.",positive,0.5994,4
The Best Judi McCoy book YET!,"I loved this book! The other reviews have recapped the story already - so instead of repeating them, I would like to say although Tom and Anne have a happily ever after and Tom keeps Drew's memories and body, what about poor Drew's soul. It seems like he was sacrificed to make Annie's wish come true. It may have been his time to go - but it is kind of sad.I can't wait until the next book comes out in Nov. about Nathan Baxter - could the love interest possibly be Eloise? Hmmm.","The other reviews have recapped the story already - so instead of repeating them, I would like to say although Tom and Anne have a happily ever after and Tom keeps Drew's memories and body, what about poor Drew's soul. It may have been his time to go - but it is kind of sad.I can't wait until the next book comes out in Nov. about Nathan Baxter - could the love interest possibly be Eloise? Hmmm.",positive,0.968,2
Must have for all!,This book is the perfect book to introduce anyone to eastern philosophy; particularly Taoism. Hoff's use of A.A. Milne's characters as a backdrop is excellent and lucid without being overly simple. Further if you already enjoy eastern philosophy you will be amazed at how accurately Hoff explains Taoism through everyone' favorite yellow bear.,This book is the perfect book to introduce anyone to eastern philosophy; particularly Taoism. Hoff's use of A.A. Milne's characters as a backdrop is excellent and lucid without being overly simple. Further if you already enjoy eastern philosophy you will be amazed at how accurately Hoff explains Taoism through everyone' favorite yellow bear.,positive,0.9523,2
Greatly Disappointing,"I'm shocked at how badly this album actually turned out. Perhaps it was too big of a rush job but the lyrics and production on this album do not compare to the JE Heartbreak album. Most of the songs are weak and nothing really sticks out and grabs you the way many of the great tracks from JE Heratbreak did. When you're best track features Nelly, you know you are probably in trouble. I'm as big a fan as any but i can't sing their praises this time. Clearly Jagged Edge is clearly lacking the hunger from their last album.",Perhaps it was too big of a rush job but the lyrics and production on this album do not compare to the JE Heartbreak album. Most of the songs are weak and nothing really sticks out and grabs you the way many of the great tracks from JE Heratbreak did. I'm as big a fan as any but i can't sing their praises this time.,neutral,-0.0496,8
"Rambling, boring, and confusing","Some interesting parts to this novel, but it drags on much too long and does not translate into a good American read. Sorry, Oprah!Paragraphs can last for pages and everyone has the same names--Aureliano, Ursula, Segundo, Aradio, and Remedios. Heck, one Aureliano had 17 sons who were ALL named Aureliano. so, often times the reader cannot tell who Marquez is referencing without looking at the family tree graphic in the front of the book.Maybe I am not a deep thinker, but I found this book to be ponderous. And the story lines that are somewhat interesting are never are made clear as to their importance to the overall tale.","Sorry, Oprah!Paragraphs can last for pages and everyone has the same names--Aureliano, Ursula, Segundo, Aradio, and Remedios. so, often times the reader cannot tell who Marquez is referencing without looking at the family tree graphic in the front of the book.Maybe I am not a deep thinker, but I found this book to be ponderous. And the story lines that are somewhat interesting are never are made clear as to their importance to the overall tale.",positive,0.7775,2
